code            ,language,one               ,few                ,many
square_decimeter,cs      ,decimetr čtvereční,decimetry čtvereční,decimetrů čtverečních
square_meter    ,cs      ,metr čtvereční    ,metry čtvereční    ,metrů čtverečních
square_kilometer,cs      ,kilometr čtvereční,kilometry čtvereční,kilometrů čtverečních
square_decimeter,en      ,square decimeter  ,square decimeters  ,square decimeters
square_meter    ,en      ,square meter      ,square meters      ,square meters
square_kilometer,en      ,square kilometer  ,square kilometers  ,square kilometers
